Frequency,amp(Vo1),phase(Vo1)
500,0.232023,-1.68069
523.564,0.25479,-1.76198
548.239,0.279816,-1.84931
574.077,0.307333,-1.94229
601.132,0.337607,-2.04071
629.463,0.370928,-2.14254
659.128,0.407633,-2.24689
690.192,0.449422,-2.37071
722.72,0.485654,-2.51152
756.781,0.54072,-2.611
792.447,0.596278,-2.74101
829.793,0.656829,-2.8779
868.9,0.722548,-3.04217
909.85,0.794557,-3.19274
952.73,0.87536,-3.36723
997.631,0.96349,-3.56376
1044.65,1.06285,-3.74079
1093.88,1.17295,-3.93878
1145.43,1.29592,-4.16265
1199.42,1.42621,-4.45132
1255.94,1.58104,-4.68639
1315.13,1.7517,-4.98825
1377.11,1.93937,-5.29934
1442.02,2.15131,-5.57768
1509.98,2.39073,-5.93813
1581.14,2.66094,-6.31642
1655.66,2.9599,-6.80903
1733.68,3.3152,-7.24987
1815.39,3.71201,-7.79197
1900.95,4.17028,-8.4144
1990.54,4.69928,-9.13273
2084.35,5.3265,-9.89682
2182.58,6.06067,-10.9696
2285.44,6.94242,-12.2389
2393.15,8.02142,-13.9529
2505.94,9.37219,-16.1552
2624.04,11.1045,-19.431
2747.7,13.439,-24.6084
2877.2,16.7976,-36.5377
3012.8,21.2886,-70.2682
3154.79,20.436,-127.766
3303.47,15.0051,-155.837
3459.15,11.0182,-167.137
3622.18,8.00273,-171.812
3792.89,5.50157,-174.834
3971.64,3.39956,-176.691
4158.82,1.55006,-178.041
4354.82,-0.0899456,-179
4560.05,-1.61413,-179.743
4774.96,-3.02261,-180.384
5000,-4.33287,-180.831
5235.64,-5.58749,-181.212
5482.39,-6.76333,-181.556
5740.77,-7.93292,-181.853
6011.32,-9.05455,-182.021
6294.63,-10.0698,-182.408
6591.28,-11.1142,-182.679
6901.92,-12.1178,-182.719
7227.2,-13.1029,-182.926
7567.81,-14.0743,-183.087
7924.47,-15.0206,-183.21
8297.93,-15.9545,-183.31
8689,-16.88,-183.476
9098.5,-17.7891,-183.527
9527.3,-18.691,-183.626
9976.31,-19.5568,-183.769
10446.5,-20.4373,-183.824
10938.8,-21.3128,-183.911
11454.3,-22.1808,-184.001
11994.2,-23.0514,-183.993
12559.4,-23.8893,-184.091
13151.3,-24.7379,-184.205
13771.1,-25.5846,-184.26
14420.2,-26.4296,-184.239
15099.8,-27.2661,-184.306
15811.4,-28.099,-184.345
16556.6,-28.941,-184.365
17336.8,-29.754,-184.417
18153.9,-30.5869,-184.489
19009.5,-31.3971,-184.548
19905.4,-32.2113,-184.578
20843.5,-33.0278,-184.593
21825.8,-33.8668,-184.585
22854.4,-34.6766,-184.649
23931.5,-35.4913,-184.64
25059.4,-36.3037,-184.743
26240.4,-37.1205,-184.707
27477,-37.9384,-184.742
28772,-38.7387,-184.81
30128,-39.509,-184.826
31547.9,-40.3673,-184.83
33034.7,-41.1286,-184.846
34591.5,-41.9445,-184.941
36221.8,-42.7365,-184.89
37928.9,-43.5583,-184.954
39716.4,-44.3672,-184.968
41588.2,-45.1781,-184.996
43548.2,-45.9837,-184.925
45600.5,-46.8073,-185.039
47749.6,-47.5894,-184.955
50000,-48.3915,-185.03
