Frequency,amp(Vo2),phase(Vo2)
500,0.59583709490000003,-4.829185464
523.56427399999995,0.65445638780000004,-5.0719827090000003
548.23909800000001,0.71894407760000001,-5.3305212150000001
574.07681100000002,0.78991368559999997,-5.6051331339999999
601.13221699999997,0.86805674710000003,-5.8963753670000001
629.46270600000003,0.95414326220000001,-6.2042994660000002
659.12836900000002,1.0490459679999999,-6.526728275
690.19213200000002,1.154981579,-6.8850906920000003
722.71988499999998,1.2621807009999999,-7.2755296249999999
756.78062399999999,1.395562797,-7.643340502
792.446596,1.5375720399999999,-8.0711809169999995
829.793454,1.6939537410000001,-8.52227508
868.90041399999996,1.8660115660000001,-9.0089695130000003
909.85042899999996,2.0557042590000001,-9.5238819750000001
952.73035900000002,2.2672141149999998,-10.09316821
997.63115700000003,2.50099407,-10.722142939999999
1044.6480650000001,2.7575438609999998,-11.35804761
1093.8808120000001,3.0528610920000001,-12.0935095
1145.433826,3.3756233560000002,-12.888946450000001
1199.4164599999999,3.7346420180000002,-13.827516510000001
1255.9432159999999,4.1428136889999996,-14.789015470000001
1315.133996,4.598970177,-15.886255
1377.1143520000001,5.1090125029999998,-17.125678799999999
1442.015752,5.6882388229999998,-18.477396079999998
1509.97586,6.3421392049999996,-20.108407060000001
1581.1388300000001,7.080870837,-22.02272644
1655.6556069999999,7.9346012449999996,-24.169918200000001
1733.684252,8.9124135639999995,-26.853873270000001
1815.3902740000001,10.03617184,-30.124636259999999
1900.9469819999999,11.340159269999999,-34.137160000000002
1990.5358530000001,12.85017429,-39.465976840000003
2084.3469169999998,14.60334737,-46.434646880000003
2182.5791610000001,16.612709410000001,-56.05290462
2285.4409479999999,18.80291106,-69.511609399999998
2393.1504620000001,20.970112499999999,-88.164208579999993
2505.9361680000002,22.750950039999999,-111.2531639
2624.0373009999998,23.553641970000001,-137.1424165
2747.704369,23.81337675,-159.43391270000001
2877.1996869999998,24.036650760000001,-202.08226759999999
3012.7979300000002,23.740546899999998,-261.40279520000001
3154.7867219999998,18.359265629999999,-305.92566970000001
3303.4672399999999,12.76289431,-321.64412809999999
3459.1548550000002,8.1362053129999996,-330.24594919999998
3622.1797999999999,4.1685646810000003,-335.63065349999999
3792.8878749999999,0.69791706649999996,-339.62881069999997
3971.6411739999999,-2.4208947099999998,-342.62760400000002
4158.8188559999999,-5.3290108890000001,-345.0166049
4354.8179499999997,-8.0079995749999995,-347.15863960000001
4560.0541970000004,-10.559704829999999,-348.79516699999999
4774.9629299999997,-12.96731138,-350.10113469999999
5000,-15.27117069,-351.3367063
5235.6427400000002,-17.500766039999998,-352.36550110000002
5482.3909809999996,-19.626415099999999,-353.36489560000001
5740.7681069999999,-21.667296650000001,-354.28823399999999
6011.3221729999996,-23.773711309999999,-354.89092849999997
6294.6270590000004,-25.748760669999999,-355.5367253
6591.2836930000003,-27.688507959999999,-356.16253039999998
6901.9213229999996,-29.591509330000001,-356.71578149999999
7227.1988540000002,-31.471584369999999,-357.24600509999999
7567.8062419999997,-33.316944659999997,-357.68793870000002
7924.4659620000002,-35.139315420000003,-358.11392310000002
8297.9345369999992,-36.942048960000001,-358.5437364
8689.0041440000005,-38.714235350000003,-358.91832640000001
9098.504293,-40.493340009999997,-359.17199210000001
9527.3035899999995,-42.216714400000001,-359.5244045
9976.3115749999997,-43.942765809999997,-359.82670610000002
10446.48065,-45.667907649999997,-360.10944089999998
10938.80812,-47.377425760000001,-360.4423165
11454.33826,-49.122092680000002,-360.52496330000002
11994.1646,-50.774511429999997,-360.93716460000002
12559.43216,-52.465577830000001,-361.05389839999998
13151.339959999999,-54.14515068,-361.22318100000001
13771.14352,-55.79702649,-361.4801779
14420.157520000001,-57.468261579999997,-361.60783120000002
15099.758599999999,-59.111256390000001,-361.82785360000003
15811.388300000001,-60.800864079999997,-361.92571600000002
16556.556069999999,-62.467970860000001,-362.07213259999997
17336.842519999998,-64.073734020000003,-362.17746829999999
18153.902740000001,-65.691445569999999,-362.39496029999998
19009.469819999998,-67.373332349999998,-362.54643600000003
19905.358530000001,-68.819852010000005,-362.50363440000001
20843.46917,-70.410857399999998,-362.72120030000002
21825.79161,-72.452482309999994,-362.26010880000001
22854.409479999998,-73.573234330000005,-362.8786121
23931.50462,-75.504960199999999,-363.2816454
25059.361680000002,-76.924521889999994,-362.91800180000001
26240.373009999999,-78.492087949999998,-363.1439082
27477.043689999999,-79.961214049999995,-362.94972849999999
28771.996869999999,-81.908556259999997,-363.29258809999999
30127.979299999999,-83.070509430000001,-362.42694949999998
31547.86722,-84.709790929999997,-362.78376639999999
33034.672400000003,-87.07443936,-362.17104819999997
34591.54855,-88.060314550000001,-363.5040085
36221.798000000003,-90.352783770000002,-363.14100500000001
37928.878750000003,-91.842208670000005,-363.73415460000001
39716.411740000003,-93.654349350000004,-361.20603569999997
41588.188560000002,-94.324836360000006,-362.45362
43548.179499999998,-96.133992289999995,-364.19669199999998
45600.541969999998,-97.645666509999998,-362.30119689999998
47749.629300000001,-99.151139880000002,-363.38695050000001
50000,-100.66799899999999,-363.55165299999999
