Frequency,amp(Vo3),phase(Vo3)
500,1.2187714059999999,-14.881851190000001
515.58863699999995,1.297474045,-15.410869050000001
531.66328599999997,1.3813626649999999,-15.960837229999999
548.23909800000001,1.4707732920000001,-16.536502810000002
565.33169899999996,1.566092246,-17.138900240000002
582.95720100000005,1.6677376610000001,-17.763566820000001
601.13221699999997,1.7761116699999999,-18.422229000000002
619.87388199999998,1.892713257,-19.113466410000001
639.19985999999994,2.009474403,-19.890705180000001
659.12836900000002,2.1460416150000001,-20.644976889999999
679.67819499999996,2.2848578490000002,-21.433360069999999
700.86870899999997,2.4351856270000001,-22.283998449999999
722.71988499999998,2.5919455990000002,-23.17217218
745.25232200000005,2.7655228529999998,-24.073970259999999
768.487258,2.951669941,-25.082267479999999
792.446596,3.141072941,-26.119387159999999
817.15292099999999,3.352757913,-27.23917191
842.62952199999995,3.5743752149999999,-28.439049319999999
868.90041399999996,3.805846029,-29.750515759999999
895.99036100000001,4.0645331520000001,-31.057728090000001
923.92489899999998,4.3338218790000003,-32.501536129999998
952.73035900000002,4.6245211910000004,-34.071526779999999
982.43389500000001,4.9257552919999998,-35.766301200000001
1013.063506,5.2617619539999998,-37.541478179999999
1044.6480650000001,5.6125504380000004,-39.500895239999998
1077.217345,5.9860884939999996,-41.631705500000002
1110.802046,6.3834794419999996,-43.959545830000003
1145.433826,6.80842043,-46.455296019999999
1181.1453309999999,7.2574779280000001,-49.23740394
1217.9702239999999,7.7309331659999998,-52.250971739999997
1255.9432159999999,8.2304802509999995,-55.610528189999997
1295.1001020000001,8.7575281080000007,-59.289178710000002
1335.4777939999999,9.3039731719999992,-63.357940460000002
1377.1143520000001,9.8680318360000001,-67.858279929999995
1420.0490239999999,10.44549511,-72.815337880000001
1464.3222820000001,11.02984869,-78.306861749999996
1509.97586,11.60574602,-84.359201940000005
1557.052792,12.170616730000001,-90.906884120000001
1605.5974550000001,12.708517609999999,-97.937421670000006
1655.6556069999999,13.21115801,-105.4667068
1707.274437,13.668562830000001,-113.3685284
1760.5026009999999,14.09180729,-121.545112
1815.3902740000001,14.47542241,-130.02524869999999
1871.9891950000001,14.849748910000001,-138.59621480000001
1930.3527160000001,15.23189062,-147.26640750000001
1990.5358530000001,15.639658689999999,-156.16920809999999
2052.5953359999999,16.104662560000001,-165.44535110000001
2116.5896640000001,16.644346580000001,-175.3122065
2182.5791610000001,17.26643271,-186.05560650000001
2250.6260309999998,17.967198140000001,-198.04475679999999
2320.7944170000001,18.694146180000001,-212.0325957
2393.1504620000001,19.35357209,-227.8741617
2467.7623709999998,19.8346813,-245.49902040000001
2544.700476,20.062875859999998,-264.18654600000002
2624.0373009999998,19.734707920000002,-281.59329309999998
2705.8476329999999,19.14417267,-299.2756612
2790.2085870000001,18.561304109999998,-320.15878320000002
2877.1996869999998,17.788846379999999,-355.58137219999998
2966.9029310000001,17.326336430000001,-391.46078670000003
3059.4028790000002,16.084889950000001,-441.36287720000001
3154.7867219999998,10.20768423,-462.55899620000002
3253.144374,5.6480082639999996,-474.97780990000001
3354.56855,1.6300978079999999,-483.53860780000002
3459.1548550000002,-2.0227492460000001,-489.67648930000001
3567.0018749999999,-5.3881056799999998,-494.46485630000001
3678.211272,-8.4707703500000004,-498.34020959999998
3792.8878749999999,-11.37665698,-501.691011
3911.1397820000002,-14.118021560000001,-504.5449931
4033.0784610000001,-16.76948385,-507.08056240000002
4158.8188559999999,-19.283531759999999,-509.32503700000001
4288.4794929999998,-21.709253019999998,-511.31173439999998
4422.1825959999996,-24.049661199999999,-513.1510753
4560.0541970000004,-26.332644770000002,-514.78060410000001
4702.2242589999996,-28.55370658,-516.22816060000002
4848.8267960000003,-30.729917449999999,-517.64139820000003
5000,-32.840402040000001,-518.87281289999999
5155.8863730000003,-34.932081150000002,-520.1023404
5316.6328579999999,-36.9768398,-521.24311760000001
5482.3909809999996,-38.982675970000003,-522.23178150000001
5653.3169900000003,-40.88843782,-523.26350030000003
5829.5720060000003,-42.89641829,-524.11512340000002
6011.3221729999996,-44.827287099999999,-524.91496940000002
6198.7388149999997,-46.706801259999999,-525.77833539999995
6391.9985969999998,-48.591762670000001,-526.42073010000001
6591.2836930000003,-50.44953649,-527.19930420000003
6796.781954,-52.287364310000001,-527.87269260000005
7008.6870920000001,-54.1107345,-528.52114989999995
7227.1988540000002,-55.913869079999998,-529.1200857
7452.5232169999999,-57.708685299999999,-529.71601869999995
7684.8725800000002,-59.488022979999997,-530.25502410000001
7924.4659620000002,-61.246280749999997,-530.74534249999999
8171.5292140000001,-63.007613130000003,-531.25834429999998
8426.2952239999995,-64.749760339999995,-531.76298440000005
8689.0041440000005,-66.519626909999999,-532.28194840000003
8959.9036120000001,-68.212719680000006,-532.69598740000004
9239.2489870000009,-69.92021407,-533.15185010000005
9527.3035899999995,-71.682685739999997,-533.40118040000004
9824.3389499999994,-73.378011549999997,-533.80954729999996
10130.635060000001,-75.097997449999994,-534.28617959999997
10446.48065,-76.721953529999993,-534.64217289999999
10772.17345,-78.411718120000003,-535.09123520000003
11108.02046,-80.100715460000004,-535.27415069999995
11454.33826,-81.743630179999997,-535.67078619999995
11811.453310000001,-83.533998749999995,-535.93708839999999
12179.702240000001,-85.079663010000004,-536.32518930000003
12559.43216,-86.74775597,-536.61186970000006
12951.00102,-88.48024685,-536.83901830000002
13354.77794,-90.139587779999999,-537.14214430000004
13771.14352,-91.778270480000003,-537.28533540000001
14200.490239999999,-93.420998130000001,-537.64251209999998
14643.222820000001,-95.07145328,-537.83614680000005
15099.758599999999,-96.667402269999997,-538.0872071
15570.52792,-98.315900009999993,-538.36541729999999
16055.974550000001,-99.993813250000002,-538.44483539999999
16556.556069999999,-101.6469139,-538.59764519999999
17072.74437,-103.24321209999999,-538.85878530000002
17605.026010000001,-105.0252835,-538.83758179999995
18153.902740000001,-106.63727400000001,-539.07592050000005
18719.891950000001,-107.97615589999999,-539.32442449999996
19303.527160000001,-109.6952843,-539.47707449999996
19905.358530000001,-111.600403,-539.17742740000006
20525.95336,-112.7820139,-539.80744240000001
21165.896639999999,-114.2991018,-539.56927329999996
21825.79161,-116.02003929999999,-539.55059240000003
22506.260310000001,-118.2133632,-538.94130859999996
23207.944169999999,-119.6028809,-540.73904870000001
23931.50462,-120.7249801,-540.62389780000001
24677.62371,-122.79507719999999,-541.21825249999995
25447.00476,-123.8285556,-540.2343985
26240.373009999999,-125.53728340000001,-540.05200500000001
27058.476330000001,-127.9405799,-539.35981560000005
27902.085869999999,-129.56088539999999,-538.69327780000003
28771.996869999999,-130.15916319999999,-539.19865689999995
29669.029310000002,-132.00425379999999,-540.60477600000002
30594.02879,-133.51615889999999,-540.9722845
31547.86722,-135.59169439999999,-541.49524559999998
32531.443739999999,-137.3305469,-542.2671173
33545.6855,-139.40532719999999,-539.38394889999995
34591.54855,-140.18190010000001,-541.87178470000003
35670.018750000003,-142.26646170000001,-537.82743230000005
36782.112719999997,-143.08922569999999,-539.12318259999995
37928.878750000003,-145.0745192,-542.55672560000005
39111.397819999998,-146.95564909999999,-537.45024249999994
40330.784610000002,-149.02474269999999,-539.22224979999999
41588.188560000002,-150.21603060000001,-543.31800980000003
42884.794929999996,-151.23245170000001,-542.50096689999998
44221.825960000002,-153.25624289999999,-542.39547110000001
45600.541969999998,-154.7194945,-539.98179530000004
47022.242590000002,-155.95934270000001,-543.19599889999995
48488.267959999997,-158.2020642,-540.48105869999995
50000,-159.03995599999999,-542.73403689999998
